시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
충남,홍성군,0,0,0,0,1569000,자체예산,9831668,2016
충남,예산군,0,0,48000,0,1102000,자체예산,7915467,2016
충남,태안군,0,0,242000,0,1101000,자체예산,13538096,2016
전북,전북,0,0,0,0,0,자체예산,0,2016
전북,전주시,0,0,2719630,0,14890000,자체예산,62727240,2016
전북,군산시,0,0,0,0,5577000,자체예산,29267090,2016
전북,익산시,0,0,0,0,4296000,자체예산,18878290,2016
전북,정읍시,0,0,343140,0,1398000,자체예산,10655976,2016
전북,남원시,0,0,1040490,0,992000,자체예산,8501172,2016
전북,김제시,0,665638,430900,0,637000,자체예산,6613670,2016
전북,완주군,0,0,368704,0,1048000,자체예산,3454048,2016
전북,진안군,0,0,0,0,227000,자체예산,1132346,2016
전북,무주군,0,0,267170,0,312000,자체예산,3019664,2016
전북,장수군,0,0,142242,0,234000,자체예산,5594459,2016
전북,임실군,0,0,230650,0,310000,자체예산,2058399,2016
전북,순창군,0,180938,237960,0,217000,자체예산,2235829,2016
전북,고창군,0,0,58120,0,687000,자체예산,1889565,2016
전북,부안군,0,0,0,0,652000,자체예산,6425000,2016
전남,전남,0,0,0,0,0,자체예산,0,2016
전남,목포시,0,0,0,0,4399000,자체예산,15405444,2016
전남,여수시,0,0,0,0,4432000,자체예산,25820343,2016
전남,순천시,0,0,1135754,0,4773000,자체예산,45225781,2016
전남,나주시,0,0,91000,0,947000,자체예산,3587328,2016
전남,광양시,0,0,0,0,3001000,자체예산,12905413,2016
전남,담양군,0,0,0,0,589000,자체예산,3450000,2016
전남,곡성군,0,0,0,0,280000,자체예산,2201631,2016
전남,구례군,0,0,0,0,371000,자체예산,1655558,2016
전남,고흥군,0,0,0,0,697000,자체예산,8735805,2016
전남,보성군,0,0,0,0,305000,자체예산,2130941,2016
전남,화순군,0,0,0,0,791000,자체예산,2315938,2016
전남,장흥군,0,0,0,0,587000,자체예산,3844041,2016
전남,강진군,0,0,202246,0,397000,자체예산,1409788,2016
전남,해남군,0,0,400000,0,787000,자체예산,6186583,2016
