시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
강원,화천군,자치단체,인원(명),20,2016
강원,양구군,자치단체,인원(명),24,2016
강원,인제군,자치단체,인원(명),44,2016
강원,고성군,자치단체,인원(명),83,2016
강원,양양군,자치단체,인원(명),34,2016
서울,종로구,자치단체,차량(대),25,2016
서울,중구,자치단체,차량(대),0,2016
서울,용산구,자치단체,차량(대),30,2016
서울,성동구,자치단체,차량(대),92,2016
서울,광진구,자치단체,차량(대),46,2016
서울,동대문구,자치단체,차량(대),40,2016
서울,중랑구,자치단체,차량(대),12,2016
서울,성북구,자치단체,차량(대),35,2016
서울,강북구,자치단체,차량(대),30,2016
서울,도봉구,자치단체,차량(대),41,2016
서울,노원구,자치단체,차량(대),41,2016
서울,은평구,자치단체,차량(대),34,2016
서울,서대문구,자치단체,차량(대),40,2016
서울,마포구,자치단체,차량(대),73,2016
서울,양천구,자치단체,차량(대),20,2016
서울,강서구,자치단체,차량(대),20,2016
서울,구로구,자치단체,차량(대),34,2016
서울,금천구,자치단체,차량(대),36,2016
서울,영등포구,자치단체,차량(대),70,2016
서울,동작구,자치단체,차량(대),67,2016
서울,관악구,자치단체,차량(대),44,2016
서울,서초구,자치단체,차량(대),123,2016
서울,강남구,자치단체,차량(대),7,2016
서울,송파구,자치단체,차량(대),36,2016
서울,강동구,자치단체,차량(대),14,2016
부산,중구,자치단체,차량(대),9,2016
부산,서구,자치단체,차량(대),11,2016
부산,동구,자치단체,차량(대),18,2016
부산,영도구,자치단체,차량(대),15,2016
부산,부산진구,자치단체,차량(대),20,2016
부산,동래구,자치단체,차량(대),11,2016
부산,남구,자치단체,차량(대),10,2016
부산,북구,자치단체,차량(대),13,2016
부산,해운대구,자치단체,차량(대),16,2016
부산,사하구,자치단체,차량(대),16,2016
부산,금정구,자치단체,차량(대),10,2016
부산,강서구,자치단체,차량(대),5,2016
부산,연제구,자치단체,차량(대),9,2016
부산,수영구,자치단체,차량(대),8,2016
부산,사상구,자치단체,차량(대),14,2016
부산,기장군,자치단체,차량(대),8,2016
대구,중구,자치단체,차량(대),30,2016
대구,동구,자치단체,차량(대),33,2016
대구,서구,자치단체,차량(대),36,2016
대구,남구,자치단체,차량(대),56,2016
대구,북구,자치단체,차량(대),34,2016
대구,수성구,자치단체,차량(대),38,2016
대구,달서구,자치단체,차량(대),31,2016
대구,달성군,자치단체,차량(대),34,2016
대구,군위군,자치단체,차량(대),0,2016
인천,중구,자치단체,차량(대),16,2016
인천,동구,자치단체,차량(대),3,2016
인천,미추홀구,자치단체,차량(대),0,2016
인천,연수구,자치단체,차량(대),9,2016
인천,남동구,자치단체,차량(대),0,2016
인천,부평구,자치단체,차량(대),7,2016
인천,계양구,자치단체,차량(대),0,2016
