,자치단체_인원(명),자치단체_차량(대),자가처리_중장비(대),처리업체_중장비(대),자치단체_손수레(대),구분_시군구,처리업체_인원(명),총계_중장비(대),자가처리_손수레(대),총계_인원(명),처리업체_차량(대),자치단체_중장비(대),자가처리_인원(명),처리업체_손수레(대),자가처리_차량(대),총계_차량(대),총계_손수레(대),구분_시도
95,349,162,0,0,0,파주시,0,2,0,349,0,2,0,0,0,162,0,경기
96,67,8,0,0,42,이천시,111,0,0,178,39,0,0,0,0,47,42,경기
97,183,41,0,0,36,안성시,0,5,0,183,0,5,0,0,0,41,36,경기
98,51,0,0,0,36,김포시,86,1,0,137,42,1,0,0,0,42,36,경기
99,343,75,0,0,0,화성시,0,0,0,343,0,0,0,0,0,75,0,경기
100,130,26,0,1,0,광주시,117,2,0,247,49,1,0,0,0,75,0,경기
101,68,3,0,0,0,양주시,80,2,0,148,49,2,0,0,0,52,0,경기
102,44,2,0,0,24,포천시,77,4,0,121,30,4,0,0,0,32,24,경기
103,79,54,0,0,16,여주시,0,13,0,79,0,13,0,0,0,54,16,경기
104,51,29,0,0,8,연천군,0,0,0,51,0,0,0,0,0,29,8,경기
105,53,12,0,1,8,가평군,67,5,0,120,21,4,0,4,0,33,12,경기
106,75,49,0,0,0,양평군,0,0,0,75,0,0,0,0,0,49,0,경기
107,382,183,0,0,0,청주시,228,0,0,610,20,0,0,0,0,203,0,충북
108,102,15,0,0,110,충주시,63,6,0,165,26,6,0,0,0,41,110,충북
109,62,19,0,0,33,제천시,45,4,0,107,15,4,0,0,0,34,33,충북
110,10,1,0,0,1,보은군,33,2,0,43,7,2,0,9,0,8,10,충북
111,7,2,0,0,0,옥천군,37,1,0,44,12,1,0,0,0,14,0,충북
112,48,11,0,0,15,영동군,14,3,0,62,6,3,0,0,0,17,15,충북
113,3,2,0,0,1,증평군,30,1,0,33,7,1,0,12,0,9,13,충북
114,43,4,0,0,0,진천군,49,3,0,92,27,3,0,0,0,31,0,충북
115,25,9,0,0,26,괴산군,11,2,0,36,9,2,0,10,0,18,36,충북
116,10,4,0,0,0,음성군,68,0,0,78,31,0,0,16,0,35,16,충북
117,65,18,0,0,11,단양군,0,1,0,65,0,1,0,0,0,18,11,충북
118,328,101,0,0,56,천안시,0,8,0,328,0,8,0,0,0,101,56,충남
119,90,32,0,0,3,공주시,0,0,0,90,0,0,0,0,0,32,3,충남
120,14,3,0,0,10,보령시,45,4,0,59,19,4,0,10,0,22,20,충남
121,95,9,0,0,5,아산시,126,3,0,221,29,3,0,0,0,38,5,충남
122,48,12,0,0,0,서산시,85,6,0,133,35,6,0,0,0,47,0,충남
123,23,11,0,0,0,논산시,88,1,0,111,23,1,0,42,0,34,42,충남
