,재활용가능자원 분리배출_종이류,종량제에 의한 혼합배출_가연성_음식물채소류,재활용가능자원 분리배출_기타,재활용가능자원 분리배출_전자제품,종량제에 의한 혼합배출_가연성_플라스틱류,종량제에 의한 혼합배출_불연성_소계,종량제에 의한 혼합배출_소계,재활용가능자원 분리배출_발포수지류,총계,재활용가능자원 분리배출_영농폐기물,종량제에 의한 혼합배출_불연성_토사류,재활용가능자원 분리배출_가구류,재활용가능자원 분리배출_기타(배출불명 등),음식물류 배출(분리배출 지역일 경우),재활용가능자원 분리배출_형광등,종량제에 의한 혼합배출_가연성_소계,재활용가능자원 분리배출_소계,구분_시군구,재활용가능자원 분리배출_폐식용유,종량제에 의한 혼합배출_가연성_고무피혁류,재활용가능자원 분리배출_윤활유,재활용가능자원 분리배출_전지류,재활용가능자원 분리배출_의류,종량제에 의한 혼합배출_가연성_기타,재활용가능자원 분리배출_합성수지류,종량제에 의한 혼합배출_가연성_나무류,재활용가능자원 분리배출_고철류,종량제에 의한 혼합배출_가연성_종이류,재활용가능자원 분리배출_플라스틱류,종량제에 의한 혼합배출_불연성_금속류,재활용가능자원 분리배출_캔류,발생량및처리현황,종량제에 의한 혼합배출_불연성_기타,재활용가능자원 분리배출_유리병류,종량제에 의한 혼합배출_불연성_유리류,재활용가능자원 분리배출_타이어,구분_시도
171,7.6,0.0,19.0,0.5,7.0,11.2,39.4,0.0,190.3,0.0,0.0,2.3,0.0,87.5,0.3,28.2,63.4,동구,0.0,0.7,0.0,0.1,1.1,1.5,5.6,0.0,6.3,19.0,5.0,2.7,5.1,재활용,1.0,10.3,7.5,0.2,대구
172,58.4,0.0,5.1,0.1,14.6,39.1,102.6,0.3,225.6,0.0,0.0,0.0,0.0,44.1,0.0,63.5,78.9,서구,0.0,0.0,0.0,0.0,2.2,40.0,1.6,1.4,0.0,7.5,0.0,6.0,5.7,발생량,19.3,5.5,13.8,0.0,대구
173,0.0,0.0,0.0,0.0,8.2,24.3,56.7,0.0,56.7,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,서구,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,2.8,0.0,4.1,0.0,매립,11.1,0.0,9.1,0.0,대구
174,0.0,0.0,0.0,0.0,2.5,10.5,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,서구,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,1.1,0.0,1.7,0.0,소각,4.5,0.0,4.3,0.0,대구
175,58.4,0.0,5.1,0.1,3.9,4.3,18.9,0.3,141.9,0.0,0.0,0.0,0.0,44.1,0.0,14.6,78.9,서구,0.0,0.0,0.0,0.0,2.2,5.7,1.6,1.4,0.0,3.6,0.0,0.2,5.7,재활용,3.7,5.5,0.4,0.0,대구
176,7.4,0.0,0.8,0.5,16.0,30.8,92.5,0.0,175.8,0.0,0.4,0.0,0.0,28.0,0.6,61.7,55.3,남구,0.0,2.6,0.0,0.3,0.0,23.6,8.7,5.6,1.0,13.9,17.5,1.8,4.7,발생량,25.1,13.8,3.5,0.0,대구
177,0.0,0.0,0.0,0.0,7.3,20.8,48.9,0.0,48.9,0.0,0.4,0.0,0.0,0.0,0.0,28.1,0.0,남구,0.0,1.9,0.0,0.0,0.0,10.7,0.0,2.4,0.0,5.8,0.0,1.5,0.0,매립,16.1,0.0,2.8,0.0,대구
178,0.0,0.0,0.0,0.0,5.1,5.9,25.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,남구,0.0,0.4,0.0,0.0,0.0,7.6,0.0,1.9,0.0,4.8,0.0,0.2,0.0,소각,5.3,0.0,0.4,0.0,대구
179,7.4,0.0,0.8,0.5,3.6,4.1,17.9,0.0,101.2,0.0,0.0,0.0,0.0,28.0,0.6,13.8,55.3,남구,0.0,0.3,0.0,0.3,0.0,5.3,8.7,1.3,1.0,3.3,17.5,0.1,4.7,재활용,3.7,13.8,0.3,0.0,대구
180,38.1,0.0,0.0,0.6,30.2,68.0,192.0,0.4,419.7,0.0,1.8,0.0,0.0,114.7,28.9,124.0,113.0,북구,1.0,19.9,0.0,0.8,5.5,31.2,6.8,5.2,5.2,37.5,6.0,5.6,7.2,발생량,48.4,12.5,12.2,0.0,대구
181,0.0,0.0,0.0,0.0,13.5,52.5,113.7,0.0,113.7,0.0,1.2,0.0,0.0,0.0,0.0,61.2,0.0,북구,0.0,16.5,0.0,0.0,0.0,19.7,0.0,3.7,0.0,7.8,0.0,2.1,0.0,매립,45.7,0.0,3.5,0.0,대구
