구분_시도,구분_시군구,종류,하위종류,발생량,매립,소각,재활용
강원,인제군,종량제에 의한 혼합배출,가연성_나무류,6.1,3.1,3.0,0.0
강원,인제군,종량제에 의한 혼합배출,가연성_음식물채소류,13.0,12.8,0.2,0.0
강원,인제군,종량제에 의한 혼합배출,가연성_종이류,4.7,2.9,0.5,1.3
강원,인제군,종량제에 의한 혼합배출,가연성_플라스틱류,15.5,12.8,1.7,1.0
강원,인제군,종량제에 의한 혼합배출,불연성_금속류,1.7,1.7,0.0,0.0
강원,인제군,종량제에 의한 혼합배출,불연성_기타,1.2,0.4,0.0,0.8
강원,인제군,종량제에 의한 혼합배출,불연성_유리류,2.1,2.1,0.0,0.0
강원,인제군,종량제에 의한 혼합배출,불연성_토사류,0.1,0.1,0.0,0.0
강원,정선군,음식물류 배출(분리배출 지역일 경우),EMPTY,7.2,0.0,0.0,7.2
강원,정선군,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,고철류,0.1,0.0,0.0,0.1
강원,정선군,재활용가능자원 분리배출,금속캔,0.2,0.0,0.0,0.2
강원,정선군,재활용가능자원 분리배출,기타,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,비닐류(합성수지류),0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,영농폐기물,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,유리병류,0.4,0.0,0.0,0.4
강원,정선군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,재활용잔재물,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,전자제품,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,종이류,0.1,0.0,0.0,0.1
강원,정선군,재활용가능자원 분리배출,타이어,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,정선군,재활용가능자원 분리배출,플라스틱류,0.4,0.0,0.0,0.4
강원,정선군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
