,처리업체_소계,총계_소각,자가처리_재활용,자치단체_매립,자치단체_해역배출,자가처리_해역배출,처리업체_매립,구분_시군구,자가처리_소각,자치단체_소계,자가처리_매립,자치단체_소각,총계_매립,자치단체_재활용,처리업체_소각,총계_계,자가처리_소계,처리업체_재활용,총계_해역배출,총계_재활용,처리업체_해역배출,구분_시도
57,2089.2,127.7,0.3,0.0,0,0,1076.2,서구,5.1,0.0,622.5,0.0,1698.7,0.0,122.6,2717.1,627.9,890.4,0.0,890.7,0.0,인천
58,42.1,1.2,0.1,0.0,0,0,34.6,강화군,0.0,0.0,0.0,0.0,34.6,0.0,1.2,42.2,0.1,6.3,0.0,6.4,0.0,인천
59,2204.1,1.9,1095.2,0.0,0,0,1.8,옹진군,0.0,0.0,1124.7,0.0,1126.5,0.0,1.9,4424.0,2219.9,2200.4,0.0,3295.6,0.0,인천
60,140.8,8.7,0.0,0.0,0,0,76.0,청라경제청,0.0,0.0,0.0,0.0,76.0,0.0,8.7,140.8,0.0,56.1,0.0,56.1,0.0,인천
61,9.1,0.0,0.0,0.0,0,0,0.0,동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.1,0.0,9.1,0.0,광주
62,403.4,3.6,0.0,0.0,0,0,97.5,서구,0.1,0.0,0.0,0.0,97.5,0.0,3.5,403.5,0.1,302.4,0.0,302.4,0.0,광주
63,26.6,0.1,0.0,0.0,0,0,3.0,남구,0.0,0.0,0.0,0.0,3.0,0.0,0.1,26.6,0.0,23.5,0.0,23.5,0.0,광주
64,55.7,8.7,0.0,0.0,0,0,9.7,북구,5.7,0.0,0.0,0.0,9.7,0.0,3.0,61.4,5.7,43.0,0.0,43.0,0.0,광주
65,399.2,41.2,13.8,8.4,0,0,43.1,광산구,0.0,8.4,0.0,0.0,51.5,0.0,41.2,421.4,13.8,314.9,0.0,328.7,0.0,광주
66,6.7,2.1,0.0,0.0,0,0,2.1,동구,0.0,0.0,0.0,0.0,2.1,0.0,2.1,6.7,0.0,2.5,0.0,2.5,0.0,대전
67,78.8,2.3,0.0,1.5,0,0,2.1,중구,0.0,1.5,0.0,0.0,3.6,0.0,2.3,80.3,0.0,74.4,0.0,74.4,0.0,대전
68,26.1,0.7,0.0,25.1,0,0,0.3,서구,0.0,113.1,0.0,0.1,25.4,87.9,0.6,139.2,0.0,25.2,0.0,113.1,0.0,대전
69,4.0,1.2,337.7,0.0,0,0,0.9,유성구,0.0,0.0,68.3,0.0,69.2,0.0,1.2,410.0,406.0,1.9,0.0,339.6,0.0,대전
70,503.6,399.0,0.0,17.4,0,0,121.6,대덕구,340.9,17.4,48.4,0.0,187.4,0.0,58.1,910.3,389.3,323.9,0.0,323.9,0.0,대전
71,0.0,0.0,0.0,0.0,0,0,0.0,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,울산
72,2220.9,163.3,132.9,0.0,0,0,591.2,남구,4.7,106.3,151.1,106.3,742.3,0.0,52.3,2615.9,288.7,1577.4,0.0,1710.3,0.0,울산
73,270.2,186.6,0.0,0.0,0,0,22.6,동구,152.2,33.0,0.0,33.0,22.6,0.0,1.4,455.4,152.2,246.2,0.0,246.2,0.0,울산
74,312.1,80.7,2.9,0.0,0,0,48.5,북구,0.0,0.0,0.0,0.0,48.5,0.0,80.7,315.0,2.9,182.9,0.0,185.8,0.0,울산
